;DATE;T2M;PRECTOT;RH2M
254;2000-09-11;27.07;0.04;66.52
255;2000-09-12;27.2;0.15;68.79
256;2000-09-13;27.09;0.01;69.0
257;2000-09-14;26.65;0.03;71.23
258;2000-09-15;27.5;0.04;65.53
259;2000-09-16;27.43;0.31;70.0
260;2000-09-17;27.28;1.05;73.04
261;2000-09-18;27.44;0.2;67.33
262;2000-09-19;27.76;0.11;64.73
263;2000-09-20;27.13;0.09;67.59
264;2000-09-21;27.65;0.12;69.67
265;2000-09-22;27.55;0.75;72.24
266;2000-09-23;27.69;1.19;69.92
267;2000-09-24;27.75;2.27;70.89
268;2000-09-25;27.33;2.48;71.18
269;2000-09-26;27.76;0.08;64.21
270;2000-09-27;27.95;0.05;67.15
271;2000-09-28;27.36;12.33;74.77
272;2000-09-29;27.45;5.24;71.66
273;2000-09-30;27.61;0.3;68.98
274;2000-10-01;27.89;1.02;71.72
275;2000-10-02;27.89;2.08;72.1
276;2000-10-03;27.12;1.02;74.76
277;2000-10-04;27.06;1.4;73.04
278;2000-10-05;27.61;0.65;68.71
279;2000-10-06;27.56;0.23;70.5
280;2000-10-07;26.94;0.72;72.81
281;2000-10-08;25.65;2.94;79.11
282;2000-10-09;26.83;2.65;73.16
283;2000-10-10;27.64;0.05;69.12
284;2000-10-11;27.35;2.38;75.02
285;2000-10-12;26.46;13.62;82.2
286;2000-10-13;26.66;2.77;80.17
287;2000-10-14;26.74;2.61;82.11
288;2000-10-15;27.69;5.8;73.19
289;2000-10-16;27.07;7.9;75.13
290;2000-10-17;27.48;1.45;74.28
291;2000-10-18;27.41;2.48;76.88
292;2000-10-19;26.31;1.26;83.27
293;2000-10-20;26.31;4.66;82.32
294;2000-10-21;26.77;8.16;78.48
295;2000-10-22;26.14;26.4;86.33
296;2000-10-23;26.51;4.04;78.91
297;2000-10-24;25.86;1.9;80.6
298;2000-10-25;25.6;2.67;82.48
299;2000-10-26;25.59;4.56;82.1
300;2000-10-27;27.29;0.18;72.66
301;2000-10-28;28.1;0.15;68.48
302;2000-10-29;28.17;0.08;67.54
303;2000-10-30;28.52;0.51;66.78
304;2000-10-31;27.62;4.12;74.33
305;2000-11-01;26.69;0.86;77.46
306;2000-11-02;27.02;2.91;76.98
307;2000-11-03;26.96;2.48;79.14
308;2000-11-04;27.68;4.56;74.32
309;2000-11-05;27.26;2.61;76.42
310;2000-11-06;27.94;2.49;71.16
311;2000-11-07;26.51;3.42;80.4
312;2000-11-08;27.56;0.94;72.45
313;2000-11-09;27.52;1.27;74.23
314;2000-11-10;27.37;2.66;76.23
315;2000-11-11;26.71;6.73;81.06
316;2000-11-12;27.23;2.49;77.11
317;2000-11-13;27.8;0.77;75.49
318;2000-11-14;27.62;1.81;78.84
319;2000-11-15;27.63;3.8;77.93
320;2000-11-16;26.58;6.03;85.89
321;2000-11-17;27.18;3.54;78.2
322;2000-11-18;27.84;1.71;75.5
323;2000-11-19;27.66;3.28;75.45
324;2000-11-20;26.56;5.53;82.32
325;2000-11-21;25.92;2.92;85.42
326;2000-11-22;26.97;4.08;76.41
