DATE,T2M,PRECTOT,RH2M
12/30/2000,0.356705913,-0.556401905,0.233377554
12/31/2000,0.385369006,-0.513305074,-0.027916829
1/1/2001,0.519130108,-0.551742789,-0.375510273
1/2/2001,0.624228116,-0.580862269,-0.520540641
1/3/2001,-0.436306331,-0.342082527,1.024452288
1/4/2001,-0.847144,2.65372965,0.862641547
1/5/2001,-1.162438025,1.888469697,1.133524714
1/6/2001,-1.525503872,0.688747091,1.314513025
1/7/2001,-0.904470186,0.325335971,0.975309767
1/8/2001,-1.200655482,3.00199864,1.378038723
1/9/2001,-1.00001383,5.563348164,1.411599469
1/10/2001,-0.952242008,6.389176638,1.374442929
1/11/2001,-1.343970948,4.169107427,1.503891522
1/12/2001,-1.487286414,1.053322989,1.204242001
1/13/2001,-0.76115472,0.350961114,0.718809777
1/14/2001,-1.057340017,0.325335971,0.860244351
1/15/2001,-1.066894381,0.550138362,1.355265359
1/16/2001,-1.487286414,2.405631674,1.376840125
1/17/2001,-1.066894381,0.018999034,1.249788728
1/18/2001,-1.114666203,-0.034580811,1.096368173
1/19/2001,-1.105111838,2.545405182,1.378038723
1/20/2001,-1.133774932,0.346301997,1.029246681
1/21/2001,-1.124220567,1.784804345,1.134723312
1/22/2001,-1.047785652,0.290392594,1.322903211
1/23/2001,-0.474523789,0.368432802,0.815896222
1/24/2001,-0.388534509,0.275250464,0.710419591
1/25/2001,-0.159229764,-0.265207098,0.543814457
1/26/2001,0.050966253,-0.373531566,0.378407922
1/27/2001,-0.398088874,1.096419821,0.753569122
1/28/2001,-0.961796373,1.014885275,1.362456948
1/29/2001,-1.00001383,2.284494634,1.397216292
1/30/2001,-1.019122559,0.13081784,1.271363494
1/31/2001,-0.894915822,0.002692125,1.158695274
2/1/2001,-0.426751967,2.251880816,0.855449959
2/2/2001,-1.382188406,11.84733211,1.493104139
2/3/2001,-1.601938787,2.031737542,1.460741991
2/4/2001,-1.076448745,2.039890996,1.303725642
2/5/2001,-1.286644762,3.381716668,1.300129848
2/6/2001,-1.08600311,0.514030206,1.144312097
2/7/2001,-1.162438025,1.902447047,1.418791058
2/8/2001,-0.990459466,2.646740975,1.467933579
2/9/2001,-1.229318576,1.692786786,1.545842455
2/10/2001,-1.076448745,-0.011285226,1.282150876
2/11/2001,-0.722937263,-0.485350372,1.002877523
2/12/2001,-0.894915822,-0.520293749,1.170681255
2/13/2001,-0.971350737,-0.339752969,1.176674245
2/14/2001,-0.885361458,-0.409639723,1.093970977
2/15/2001,-0.60828489,-0.206968137,1.115545743
2/16/2001,-1.372634041,0.837838832,1.332491996
2/17/2001,-1.248427304,1.168636133,1.412798067
2/18/2001,-1.324862219,1.754520085,1.399613489
2/19/2001,-1.315307855,2.017760191,1.418791058
2/20/2001,-1.00001383,1.893128813,1.225816766
2/21/2001,-1.00001383,-0.125433591,1.286945269
2/22/2001,-0.665611077,-0.56455536,0.789527064
2/23/2001,-0.933133279,-0.206968137,0.959727992
2/24/2001,-0.799372178,-0.408474943,0.681653237
2/25/2001,-0.894915822,-0.015944343,0.861442949
2/26/2001,0.165618625,-0.435264866,0.139886903
2/27/2001,-0.436306331,-0.530776762,0.657681275
2/28/2001,-0.417197602,-0.523788087,0.874627528
3/1/2001,-0.713382899,0.014339917,1.047225652
3/2/2001,-0.445860696,0.426671764,1.099963968
3/3/2001,-0.961796373,3.211658901,1.520671895
3/4/2001,-1.191101118,6.145737779,1.572211613
3/5/2001,-1.248427304,1.225710315,1.411599469
3/6/2001,-1.277090397,1.576308863,1.384031713
3/7/2001,-1.305753491,1.366648602,1.470330775
3/8/2001,-1.305753491,-0.128927928,1.31091723
3/9/2001,-0.789817814,-0.344412086,0.963323786
3/10/2001,-0.703828534,-0.170859981,1.081984996
3/11/2001,-0.885361458,1.061476444,1.297732651
3/12/2001,-1.372634041,1.847702424,1.577006005
3/13/2001,-1.592384422,0.456956024,1.170681255
3/14/2001,-0.503186882,-0.523788087,0.220192975
3/15/2001,-1.019122559,-0.260547981,0.871031734
3/16/2001,-0.952242008,-0.026427356,0.821889212
3/17/2001,-1.00001383,0.582752181,1.022055092
3/18/2001,-0.837589636,1.408580654,1.29893125
3/19/2001,-0.923578915,0.271756126,1.002877523
3/20/2001,-1.143329296,0.327665529,1.137120508
3/21/2001,-0.570067433,0.094709684,1.0795878
3/22/2001,-0.627393619,-0.151058734,0.355634558
3/23/2001,0.56690193,-0.51912897,-0.279622426
3/24/2001,-0.254773408,-0.191826007,0.6420995
3/25/2001,-0.828035271,-0.093984551,1.020856494
3/26/2001,0.070074981,-0.5342711,0.111120549
3/27/2001,-0.082794849,-0.181342994,0.451522405
3/28/2001,-0.178338493,-0.354895099,0.469501376
3/29/2001,-0.359871416,-0.237252397,0.562992026
3/30/2001,-0.015914298,-0.456230892,0.167454659
3/31/2001,0.557347565,-0.409639723,0.04160186
4/1/2001,-0.073240484,0.707383558,0.644496696
4/2/2001,-0.359871416,-0.073018525,0.547410251
4/3/2001,0.156064261,-0.444583099,0.483884553
4/4/2001,0.586010658,0.14479519,0.371216333
4/5/2001,-0.847144,-0.012450005,1.328896202
4/6/2001,-0.722937263,-0.329269956,0.826683605
4/7/2001,-0.283436501,-0.300150475,0.84825837
4/8/2001,-0.025468663,1.167471354,0.883017715
4/9/2001,-0.770709085,0.051612852,1.369648536
4/10/2001,-1.105111838,0.044624177,1.246192934
4/11/2001,-0.445860696,0.367268023,0.590559782
4/12/2001,0.08918371,0.120334827,0.382003716
4/13/2001,-0.703828534,-0.224439825,0.802711643
4/14/2001,-0.570067433,-0.139410941,0.566587821
4/15/2001,-1.535058236,0.426671764,1.183865834
4/16/2001,-0.130566671,-0.394497593,0.117113539
4/17/2001,0.232499176,-0.330434735,0.138688305
4/18/2001,-0.617839255,-0.403815826,0.646893892
4/19/2001,-0.130566671,-0.540094996,0.048793449
4/20/2001,-0.359871416,-0.500492502,0.915379863
4/21/2001,0.557347565,-0.32228128,0.568985017
4/22/2001,0.17517299,-0.258218423,0.705625198
4/23/2001,-0.235664679,-0.161541747,0.902195284
4/24/2001,-0.121012306,-0.038075148,0.98609715
4/25/2001,0.356705913,0.336983763,0.763157906
4/26/2001,0.452249557,-0.558731464,0.295704654
4/27/2001,-0.321653959,-0.211627254,1.181468637
4/28/2001,-0.21655595,0.967129326,1.435571431
4/29/2001,-0.140121035,1.833725073,1.133524714
4/30/2001,0.280270998,-0.222110267,0.596552773
5/1/2001,-0.044577391,0.278744802,0.795520055
5/2/2001,-0.006359934,-0.213956812,0.413167266
5/3/2001,-0.321653959,0.863463975,1.02325369
5/4/2001,0.165618625,-0.530776762,0.644496696
5/5/2001,0.738880489,-0.484185593,-0.021923838
