LAT,LON,DATE,PRECTOT
-4.96019,119.56881,7/10/2000,0.53
-4.96019,119.56881,7/11/2000,0.36
-4.96019,119.56881,7/12/2000,0.08
-4.96019,119.56881,7/13/2000,0.18
-4.96019,119.56881,7/14/2000,0.09
-4.96019,119.56881,7/15/2000,0.05
-4.96019,119.56881,7/16/2000,0.07
-4.96019,119.56881,7/17/2000,0.41
-4.96019,119.56881,7/18/2000,1.53
-4.96019,119.56881,7/19/2000,0.34
-4.96019,119.56881,7/20/2000,0.02
-4.96019,119.56881,7/21/2000,0
-4.96019,119.56881,7/22/2000,0.05
-4.96019,119.56881,7/23/2000,0.06
-4.96019,119.56881,7/24/2000,0.32
-4.96019,119.56881,7/25/2000,1.82
-4.96019,119.56881,7/26/2000,3.76
-4.96019,119.56881,7/27/2000,4.27
-4.96019,119.56881,7/28/2000,0.42
-4.96019,119.56881,7/29/2000,0.23
-4.96019,119.56881,7/30/2000,3.39
-4.96019,119.56881,7/31/2000,2.4
-4.96019,119.56881,8/1/2000,0.72
-4.96019,119.56881,8/2/2000,0.93
-4.96019,119.56881,8/3/2000,0.08
-4.96019,119.56881,8/4/2000,0.13
-4.96019,119.56881,8/5/2000,0.33
-4.96019,119.56881,8/6/2000,2.55
-4.96019,119.56881,8/7/2000,3.48
-4.96019,119.56881,8/8/2000,1.39
-4.96019,119.56881,8/9/2000,0.17
-4.96019,119.56881,8/10/2000,0.02
-4.96019,119.56881,8/11/2000,0.01
-4.96019,119.56881,8/12/2000,0.01
-4.96019,119.56881,8/13/2000,0.01
-4.96019,119.56881,8/14/2000,0.28
-4.96019,119.56881,8/15/2000,0.29
-4.96019,119.56881,8/16/2000,0.18
-4.96019,119.56881,8/17/2000,0.01
-4.96019,119.56881,8/18/2000,0.01
-4.96019,119.56881,8/19/2000,0.13
-4.96019,119.56881,8/20/2000,0.11
-4.96019,119.56881,8/21/2000,0.01
-4.96019,119.56881,8/22/2000,0.01
-4.96019,119.56881,8/23/2000,0.93
-4.96019,119.56881,8/24/2000,1.39
-4.96019,119.56881,8/25/2000,1.47
-4.96019,119.56881,8/26/2000,0.65
-4.96019,119.56881,8/27/2000,0.03
-4.96019,119.56881,8/28/2000,0.02
-4.96019,119.56881,8/29/2000,0
-4.96019,119.56881,8/30/2000,0
-4.96019,119.56881,8/31/2000,0.33
-4.96019,119.56881,9/1/2000,0.11
-4.96019,119.56881,9/2/2000,0.58
-4.96019,119.56881,9/3/2000,0
-4.96019,119.56881,9/4/2000,0
-4.96019,119.56881,9/5/2000,0.06
-4.96019,119.56881,9/6/2000,0.05
-4.96019,119.56881,9/7/2000,0.02
-4.96019,119.56881,9/8/2000,0.22
-4.96019,119.56881,9/9/2000,0
-4.96019,119.56881,9/10/2000,0
-4.96019,119.56881,9/11/2000,0.04
-4.96019,119.56881,9/12/2000,0.15
-4.96019,119.56881,9/13/2000,0.01
-4.96019,119.56881,9/14/2000,0.03
-4.96019,119.56881,9/15/2000,0.04
-4.96019,119.56881,9/16/2000,0.31
-4.96019,119.56881,9/17/2000,1.05
-4.96019,119.56881,9/18/2000,0.2
-4.96019,119.56881,9/19/2000,0.11
-4.96019,119.56881,9/20/2000,0.09
-4.96019,119.56881,9/21/2000,0.12
-4.96019,119.56881,9/22/2000,0.75
-4.96019,119.56881,9/23/2000,1.19
-4.96019,119.56881,9/24/2000,2.27
-4.96019,119.56881,9/25/2000,2.48
-4.96019,119.56881,9/26/2000,0.08
-4.96019,119.56881,9/27/2000,0.05
-4.96019,119.56881,9/28/2000,12.33
-4.96019,119.56881,9/29/2000,5.24
-4.96019,119.56881,9/30/2000,0.3
-4.96019,119.56881,10/1/2000,1.02
-4.96019,119.56881,10/2/2000,2.08
-4.96019,119.56881,10/3/2000,1.02
-4.96019,119.56881,10/4/2000,1.4
-4.96019,119.56881,10/5/2000,0.65
-4.96019,119.56881,10/6/2000,0.23
-4.96019,119.56881,10/7/2000,0.72
-4.96019,119.56881,10/8/2000,2.94
-4.96019,119.56881,10/9/2000,2.65
-4.96019,119.56881,10/10/2000,0.05
-4.96019,119.56881,10/11/2000,2.38
-4.96019,119.56881,10/12/2000,13.62
-4.96019,119.56881,10/13/2000,2.77
-4.96019,119.56881,10/14/2000,2.61
-4.96019,119.56881,10/15/2000,5.8
-4.96019,119.56881,10/16/2000,7.9
