LAT,LON,DATE,T2M,PRECTOT,RH2M
-5.04629,119.68471,8/14/2000,25.04,0.27,79.14
-5.04629,119.68471,8/15/2000,25.46,0.19,77.83
-5.04629,119.68471,8/16/2000,25.14,0.16,76.51
-5.04629,119.68471,8/17/2000,25.03,0.03,74.47
-5.04629,119.68471,8/18/2000,24.75,0.02,74.69
-5.04629,119.68471,8/19/2000,25.16,0.04,74.12
-5.04629,119.68471,8/20/2000,25.11,0,74.74
-5.04629,119.68471,8/21/2000,25.57,0,73.45
-5.04629,119.68471,8/22/2000,25.53,0,77.1
-5.04629,119.68471,8/23/2000,25.78,0.49,79.17
-5.04629,119.68471,8/24/2000,25.38,0.94,83.27
-5.04629,119.68471,8/25/2000,25.9,0.82,80.53
-5.04629,119.68471,8/26/2000,26.02,0.24,75.98
-5.04629,119.68471,8/27/2000,26.44,0,71.65
-5.04629,119.68471,8/28/2000,26.57,0.02,71.19
-5.04629,119.68471,8/29/2000,26.06,0,68.7
-5.04629,119.68471,8/30/2000,25.72,0,69.73
-5.04629,119.68471,8/31/2000,26.03,0.15,72.3
-5.04629,119.68471,9/1/2000,26.26,0,74.07
-5.04629,119.68471,9/2/2000,26.41,0.97,74.68
-5.04629,119.68471,9/3/2000,26.6,0,74.92
-5.04629,119.68471,9/4/2000,26.9,0,69.98
-5.04629,119.68471,9/5/2000,26.4,0.04,72.33
-5.04629,119.68471,9/6/2000,26.22,0.07,71.04
-5.04629,119.68471,9/7/2000,26.42,0,70.08
-5.04629,119.68471,9/8/2000,26.54,0.05,71.98
-5.04629,119.68471,9/9/2000,26.65,0,67.31
-5.04629,119.68471,9/10/2000,26.94,0,66.04
-5.04629,119.68471,9/11/2000,26.89,0.01,67.53
-5.04629,119.68471,9/12/2000,27.03,0.06,70
-5.04629,119.68471,9/13/2000,26.93,0.01,69.17
-5.04629,119.68471,9/14/2000,26.47,0.04,71.46
-5.04629,119.68471,9/15/2000,26.99,0.01,67.88
-5.04629,119.68471,9/16/2000,27.1,0.13,70.35
-5.04629,119.68471,9/17/2000,27.08,0.67,72.92
-5.04629,119.68471,9/18/2000,27.2,0.08,68.23
-5.04629,119.68471,9/19/2000,27.42,0.02,64.92
-5.04629,119.68471,9/20/2000,27.13,0.03,67.28
-5.04629,119.68471,9/21/2000,27.31,0.05,71.46
-5.04629,119.68471,9/22/2000,27.46,0.24,72.42
-5.04629,119.68471,9/23/2000,27.29,0.62,72.22
-5.04629,119.68471,9/24/2000,27.55,1.79,71.8
-5.04629,119.68471,9/25/2000,27.2,1.47,71.38
-5.04629,119.68471,9/26/2000,27.55,0.06,66.45
-5.04629,119.68471,9/27/2000,27.68,0.01,67.78
-5.04629,119.68471,9/28/2000,27.4,8.93,73.41
-5.04629,119.68471,9/29/2000,27.17,8.61,72.87
-5.04629,119.68471,9/30/2000,27.18,0.26,71.98
-5.04629,119.68471,10/1/2000,27.51,1.01,73.68
-5.04629,119.68471,10/2/2000,27.54,1.56,73.27
-5.04629,119.68471,10/3/2000,26.98,0.42,75.21
-5.04629,119.68471,10/4/2000,27.01,0.63,72.05
-5.04629,119.68471,10/5/2000,27.51,0.33,69.1
-5.04629,119.68471,10/6/2000,27.39,0.11,71.94
-5.04629,119.68471,10/7/2000,26.92,0.32,72.74
-5.04629,119.68471,10/8/2000,26.15,1.36,74.48
-5.04629,119.68471,10/9/2000,26.98,1.88,71.77
-5.04629,119.68471,10/10/2000,27.61,0.01,68.62
-5.04629,119.68471,10/11/2000,27.32,1.84,74.81
-5.04629,119.68471,10/12/2000,26.35,9.06,80.71
-5.04629,119.68471,10/13/2000,26.4,3.23,80.71
-5.04629,119.68471,10/14/2000,26.83,1.48,80.82
-5.04629,119.68471,10/15/2000,27.7,3.3,72.86
-5.04629,119.68471,10/16/2000,26.97,3.74,74.63
-5.04629,119.68471,10/17/2000,27.25,0.92,74.82
-5.04629,119.68471,10/18/2000,27.47,1.61,75.43
-5.04629,119.68471,10/19/2000,26.54,1.12,80.5
-5.04629,119.68471,10/20/2000,26.36,4.81,80.41
-5.04629,119.68471,10/21/2000,26.75,7.01,78.3
-5.04629,119.68471,10/22/2000,26.04,29.01,85.28
-5.04629,119.68471,10/23/2000,26.66,3.25,76.16
-5.04629,119.68471,10/24/2000,26.4,0.81,74.65
-5.04629,119.68471,10/25/2000,26.05,1.31,78.26
-5.04629,119.68471,10/26/2000,25.93,2.78,78.71
-5.04629,119.68471,10/27/2000,27.53,0.03,71.15
-5.04629,119.68471,10/28/2000,28.09,0.08,68.82
-5.04629,119.68471,10/29/2000,28.23,0.05,66.06
-5.04629,119.68471,10/30/2000,28.47,0.26,64.92
-5.04629,119.68471,10/31/2000,27.63,4.31,73.37
-5.04629,119.68471,11/1/2000,26.94,1.1,76.34
-5.04629,119.68471,11/2/2000,26.82,3.03,77.99
-5.04629,119.68471,11/3/2000,27.4,2.77,74.98
-5.04629,119.68471,11/4/2000,27.54,4.83,74.17
-5.04629,119.68471,11/5/2000,26.99,2.59,75.82
-5.04629,119.68471,11/6/2000,27.84,1.86,70.18
-5.04629,119.68471,11/7/2000,27.24,2.44,72.85
-5.04629,119.68471,11/8/2000,27.88,0.55,68.62
-5.04629,119.68471,11/9/2000,27.75,0.92,71.01
-5.04629,119.68471,11/10/2000,27.6,2.13,73.37
-5.04629,119.68471,11/11/2000,27.22,8.14,77.36
-5.04629,119.68471,11/12/2000,27.45,2.91,75.73
