LAT,LON,DATE,RH2M
-4.91399,119.84101,11/5/2010,83.93
-4.91399,119.84101,11/6/2010,83.32
-4.91399,119.84101,11/7/2010,76.16
-4.91399,119.84101,11/8/2010,81.85
-4.91399,119.84101,11/9/2010,82.14
-4.91399,119.84101,11/10/2010,76.99
-4.91399,119.84101,11/11/2010,75.7
-4.91399,119.84101,11/12/2010,76.07
-4.91399,119.84101,11/13/2010,76.4
-4.91399,119.84101,11/14/2010,80.5
-4.91399,119.84101,11/15/2010,72.41
-4.91399,119.84101,11/16/2010,74.78
-4.91399,119.84101,11/17/2010,74.13
-4.91399,119.84101,11/18/2010,74.71
-4.91399,119.84101,11/19/2010,72.93
-4.91399,119.84101,11/20/2010,80.52
-4.91399,119.84101,11/21/2010,77.36
-4.91399,119.84101,11/22/2010,83.45
-4.91399,119.84101,11/23/2010,78.42
-4.91399,119.84101,11/24/2010,83.65
-4.91399,119.84101,11/25/2010,81.91
-4.91399,119.84101,11/26/2010,86.91
-4.91399,119.84101,11/27/2010,78.48
-4.91399,119.84101,11/28/2010,81.76
-4.91399,119.84101,11/29/2010,79.39
-4.91399,119.84101,11/30/2010,81.72
-4.91399,119.84101,12/1/2010,87.52
-4.91399,119.84101,12/2/2010,84.46
-4.91399,119.84101,12/3/2010,91.21
-4.91399,119.84101,12/4/2010,90.96
-4.91399,119.84101,12/5/2010,82.8
-4.91399,119.84101,12/6/2010,87.33
-4.91399,119.84101,12/7/2010,90.15
-4.91399,119.84101,12/8/2010,90.05
-4.91399,119.84101,12/9/2010,88.75
-4.91399,119.84101,12/10/2010,82.02
-4.91399,119.84101,12/11/2010,92.2
-4.91399,119.84101,12/12/2010,81.49
-4.91399,119.84101,12/13/2010,80.31
-4.91399,119.84101,12/14/2010,82.56
-4.91399,119.84101,12/15/2010,83.34
-4.91399,119.84101,12/16/2010,84.96
-4.91399,119.84101,12/17/2010,85.4
-4.91399,119.84101,12/18/2010,87.44
-4.91399,119.84101,12/19/2010,85.85
-4.91399,119.84101,12/20/2010,90.53
-4.91399,119.84101,12/21/2010,88.46
-4.91399,119.84101,12/22/2010,87.69
-4.91399,119.84101,12/23/2010,89.1
-4.91399,119.84101,12/24/2010,86.07
-4.91399,119.84101,12/25/2010,87.06
-4.91399,119.84101,12/26/2010,89.65
-4.91399,119.84101,12/27/2010,87.56
-4.91399,119.84101,12/28/2010,89.66
-4.91399,119.84101,12/29/2010,89.55
-4.91399,119.84101,12/30/2010,87.97
-4.91399,119.84101,12/31/2010,87.82
-4.91399,119.84101,1/1/2011,80.98
-4.91399,119.84101,1/2/2011,77.45
-4.91399,119.84101,1/3/2011,80.2
-4.91399,119.84101,1/4/2011,87.57
-4.91399,119.84101,1/5/2011,87.71
-4.91399,119.84101,1/6/2011,85.19
-4.91399,119.84101,1/7/2011,85.45
-4.91399,119.84101,1/8/2011,89.28
-4.91399,119.84101,1/9/2011,87.04
-4.91399,119.84101,1/10/2011,86.96
-4.91399,119.84101,1/11/2011,90.57
-4.91399,119.84101,1/12/2011,90.4
-4.91399,119.84101,1/13/2011,89.3
-4.91399,119.84101,1/14/2011,88.06
-4.91399,119.84101,1/15/2011,88.41
-4.91399,119.84101,1/16/2011,91.78
-4.91399,119.84101,1/17/2011,85.56
-4.91399,119.84101,1/18/2011,85.64
-4.91399,119.84101,1/19/2011,88.48
-4.91399,119.84101,1/20/2011,91.01
-4.91399,119.84101,1/21/2011,87.33
-4.91399,119.84101,1/22/2011,84.15
-4.91399,119.84101,1/23/2011,89.32
-4.91399,119.84101,1/24/2011,90.3
-4.91399,119.84101,1/25/2011,89.21
-4.91399,119.84101,1/26/2011,85.06
-4.91399,119.84101,1/27/2011,86.78
-4.91399,119.84101,1/28/2011,85.09
-4.91399,119.84101,1/29/2011,83.86
-4.91399,119.84101,1/30/2011,88.99
-4.91399,119.84101,1/31/2011,88.95
-4.91399,119.84101,2/1/2011,89.27
-4.91399,119.84101,2/2/2011,87.28
-4.91399,119.84101,2/3/2011,87.54
-4.91399,119.84101,2/4/2011,89.54
-4.91399,119.84101,2/5/2011,92.15
-4.91399,119.84101,2/6/2011,89.43
-4.91399,119.84101,2/7/2011,83.79
-4.91399,119.84101,2/8/2011,85.34
-4.91399,119.84101,2/9/2011,80.56
-4.91399,119.84101,2/10/2011,78.5
-4.91399,119.84101,2/11/2011,76.22
-4.91399,119.84101,2/12/2011,82.09
-4.91399,119.84101,2/13/2011,85.86
-4.91399,119.84101,2/14/2011,78.35
-4.91399,119.84101,2/15/2011,83
-4.91399,119.84101,2/16/2011,85.58
-4.91399,119.84101,2/17/2011,87.56
-4.91399,119.84101,2/18/2011,84.82
-4.91399,119.84101,2/19/2011,80.93
-4.91399,119.84101,2/20/2011,85.55
-4.91399,119.84101,2/21/2011,84.38
-4.91399,119.84101,2/22/2011,85.29
-4.91399,119.84101,2/23/2011,80.67
-4.91399,119.84101,2/24/2011,83.98
-4.91399,119.84101,2/25/2011,87.01
-4.91399,119.84101,2/26/2011,85.79
-4.91399,119.84101,2/27/2011,87.39
-4.91399,119.84101,2/28/2011,88.65
-4.91399,119.84101,3/1/2011,91.18
-4.91399,119.84101,3/2/2011,88.44
-4.91399,119.84101,3/3/2011,86.19
-4.91399,119.84101,3/4/2011,83.34
-4.91399,119.84101,3/5/2011,85.22
-4.91399,119.84101,3/6/2011,85.17
-4.91399,119.84101,3/7/2011,85.83
-4.91399,119.84101,3/8/2011,87.44
-4.91399,119.84101,3/9/2011,79.34
-4.91399,119.84101,3/10/2011,84.65
-4.91399,119.84101,3/11/2011,90.27
-4.91399,119.84101,3/12/2011,91.18
-4.91399,119.84101,3/13/2011,87.97
-4.91399,119.84101,3/14/2011,89.28
-4.91399,119.84101,3/15/2011,84.23
-4.91399,119.84101,3/16/2011,87.02
-4.91399,119.84101,3/17/2011,78.06
-4.91399,119.84101,3/18/2011,79.26
-4.91399,119.84101,3/19/2011,82.49
-4.91399,119.84101,3/20/2011,86.69
-4.91399,119.84101,3/21/2011,85.57
-4.91399,119.84101,3/22/2011,89.13
-4.91399,119.84101,3/23/2011,90.01
-4.91399,119.84101,3/24/2011,90.97
-4.91399,119.84101,3/25/2011,89.06
-4.91399,119.84101,3/26/2011,87.63
-4.91399,119.84101,3/27/2011,88.33
-4.91399,119.84101,3/28/2011,90.71
-4.91399,119.84101,3/29/2011,88.68
-4.91399,119.84101,3/30/2011,86.6
-4.91399,119.84101,3/31/2011,90.62
-4.91399,119.84101,4/1/2011,88.56
-4.91399,119.84101,4/2/2011,90.17
-4.91399,119.84101,4/3/2011,89.98
-4.91399,119.84101,4/4/2011,89.88
-4.91399,119.84101,4/5/2011,88.19
-4.91399,119.84101,4/6/2011,85.86
-4.91399,119.84101,4/7/2011,86.49
-4.91399,119.84101,4/8/2011,87.26
-4.91399,119.84101,4/9/2011,80.82
-4.91399,119.84101,4/10/2011,89.52
-4.91399,119.84101,4/11/2011,90.74
-4.91399,119.84101,4/12/2011,88.46
-4.91399,119.84101,4/13/2011,85.68
-4.91399,119.84101,4/14/2011,88.14
-4.91399,119.84101,4/15/2011,85.82
-4.91399,119.84101,4/16/2011,88.8
-4.91399,119.84101,4/17/2011,86.68
-4.91399,119.84101,4/18/2011,87.05
-4.91399,119.84101,4/19/2011,87.3
-4.91399,119.84101,4/20/2011,84.79
-4.91399,119.84101,4/21/2011,79.35
-4.91399,119.84101,4/22/2011,87.13
-4.91399,119.84101,4/23/2011,79.94
-4.91399,119.84101,4/24/2011,82.58
-4.91399,119.84101,4/25/2011,88.01
-4.91399,119.84101,4/26/2011,82.03
-4.91399,119.84101,4/27/2011,84.24
-4.91399,119.84101,4/28/2011,85.56
-4.91399,119.84101,4/29/2011,82.04
-4.91399,119.84101,4/30/2011,85.83
-4.91399,119.84101,5/1/2011,85.62
-4.91399,119.84101,5/2/2011,91.5
-4.91399,119.84101,5/3/2011,86.42
-4.91399,119.84101,5/4/2011,84.83
-4.91399,119.84101,5/5/2011,84.47
-4.91399,119.84101,5/6/2011,80.62
-4.91399,119.84101,5/7/2011,79.6
-4.91399,119.84101,5/8/2011,80.23
-4.91399,119.84101,5/9/2011,78.03
-4.91399,119.84101,5/10/2011,78.72
-4.91399,119.84101,5/11/2011,83.23
-4.91399,119.84101,5/12/2011,84.22
-4.91399,119.84101,5/13/2011,83.65
-4.91399,119.84101,5/14/2011,86.04
-4.91399,119.84101,5/15/2011,84.16
-4.91399,119.84101,5/16/2011,82.49
-4.91399,119.84101,5/17/2011,81.6
-4.91399,119.84101,5/18/2011,83.66
-4.91399,119.84101,5/19/2011,83.81
-4.91399,119.84101,5/20/2011,81.44
-4.91399,119.84101,5/21/2011,84.31
-4.91399,119.84101,5/22/2011,82.78
-4.91399,119.84101,5/23/2011,83.11
-4.91399,119.84101,5/24/2011,80.01
-4.91399,119.84101,5/25/2011,83.51
-4.91399,119.84101,5/26/2011,83.06
-4.91399,119.84101,5/27/2011,81.77
-4.91399,119.84101,5/28/2011,86.48
-4.91399,119.84101,5/29/2011,90.32
-4.91399,119.84101,5/30/2011,88.9
-4.91399,119.84101,5/31/2011,90.63
-4.91399,119.84101,6/1/2011,88
-4.91399,119.84101,6/2/2011,81.99
-4.91399,119.84101,6/3/2011,79.89
-4.91399,119.84101,6/4/2011,79.67
-4.91399,119.84101,6/5/2011,83.16
-4.91399,119.84101,6/6/2011,83.49
-4.91399,119.84101,6/7/2011,82.02
-4.91399,119.84101,6/8/2011,82.19
-4.91399,119.84101,6/9/2011,79.34
-4.91399,119.84101,6/10/2011,81.07
-4.91399,119.84101,6/11/2011,76.31
-4.91399,119.84101,6/12/2011,76.89
-4.91399,119.84101,6/13/2011,81.18
-4.91399,119.84101,6/14/2011,80
-4.91399,119.84101,6/15/2011,77.65
-4.91399,119.84101,6/16/2011,79.19
-4.91399,119.84101,6/17/2011,80.26
-4.91399,119.84101,6/18/2011,80.96
-4.91399,119.84101,6/19/2011,80.74
-4.91399,119.84101,6/20/2011,83.51
-4.91399,119.84101,6/21/2011,82.49
-4.91399,119.84101,6/22/2011,80.56
-4.91399,119.84101,6/23/2011,80.21
-4.91399,119.84101,6/24/2011,79.83
-4.91399,119.84101,6/25/2011,91.74
-4.91399,119.84101,6/26/2011,91.66
-4.91399,119.84101,6/27/2011,84.45
-4.91399,119.84101,6/28/2011,81.7
-4.91399,119.84101,6/29/2011,78.88
-4.91399,119.84101,6/30/2011,77.89
-4.91399,119.84101,7/1/2011,76.97
-4.91399,119.84101,7/2/2011,73.37
-4.91399,119.84101,7/3/2011,77.28
-4.91399,119.84101,7/4/2011,78.12
-4.91399,119.84101,7/5/2011,77.93
-4.91399,119.84101,7/6/2011,78.08
-4.91399,119.84101,7/7/2011,82.98
-4.91399,119.84101,7/8/2011,85.35
-4.91399,119.84101,7/9/2011,80.95
-4.91399,119.84101,7/10/2011,82.04
-4.91399,119.84101,7/11/2011,82.33
-4.91399,119.84101,7/12/2011,86.02
-4.91399,119.84101,7/13/2011,82.64
-4.91399,119.84101,7/14/2011,82.86
-4.91399,119.84101,7/15/2011,78.91
-4.91399,119.84101,7/16/2011,77.47
-4.91399,119.84101,7/17/2011,75.92
-4.91399,119.84101,7/18/2011,76.33
-4.91399,119.84101,7/19/2011,78.1
-4.91399,119.84101,7/20/2011,75.58
-4.91399,119.84101,7/21/2011,77.92
-4.91399,119.84101,7/22/2011,73.88
-4.91399,119.84101,7/23/2011,73.2
-4.91399,119.84101,7/24/2011,71.07
-4.91399,119.84101,7/25/2011,73.71
-4.91399,119.84101,7/26/2011,77.68
-4.91399,119.84101,7/27/2011,77.29
-4.91399,119.84101,7/28/2011,75.78
-4.91399,119.84101,7/29/2011,75.11
-4.91399,119.84101,7/30/2011,75.81
-4.91399,119.84101,7/31/2011,75.61
-4.91399,119.84101,8/1/2011,75.72
-4.91399,119.84101,8/2/2011,75.53
-4.91399,119.84101,8/3/2011,72.31
-4.91399,119.84101,8/4/2011,73.53
-4.91399,119.84101,8/5/2011,72.47
-4.91399,119.84101,8/6/2011,74.97
-4.91399,119.84101,8/7/2011,73.27
-4.91399,119.84101,8/8/2011,72.66
-4.91399,119.84101,8/9/2011,74.96
-4.91399,119.84101,8/10/2011,72.08
-4.91399,119.84101,8/11/2011,71.78
-4.91399,119.84101,8/12/2011,69.68
-4.91399,119.84101,8/13/2011,71.82
-4.91399,119.84101,8/14/2011,70.6
-4.91399,119.84101,8/15/2011,74.36
-4.91399,119.84101,8/16/2011,73.97
-4.91399,119.84101,8/17/2011,71.71
-4.91399,119.84101,8/18/2011,66.35
-4.91399,119.84101,8/19/2011,66.68
-4.91399,119.84101,8/20/2011,69.42
-4.91399,119.84101,8/21/2011,72.36
-4.91399,119.84101,8/22/2011,70.52
-4.91399,119.84101,8/23/2011,67.26
-4.91399,119.84101,8/24/2011,66.45
-4.91399,119.84101,8/25/2011,68.12
-4.91399,119.84101,8/26/2011,68.48
-4.91399,119.84101,8/27/2011,72.47
-4.91399,119.84101,8/28/2011,70.07
-4.91399,119.84101,8/29/2011,68.71
-4.91399,119.84101,8/30/2011,74.37
-4.91399,119.84101,8/31/2011,72.02
-4.91399,119.84101,9/1/2011,67.81
-4.91399,119.84101,9/2/2011,69.33
-4.91399,119.84101,9/3/2011,75.01
-4.91399,119.84101,9/4/2011,71.8
-4.91399,119.84101,9/5/2011,68.84
-4.91399,119.84101,9/6/2011,65.92
-4.91399,119.84101,9/7/2011,68.85
-4.91399,119.84101,9/8/2011,76.39
-4.91399,119.84101,9/9/2011,69.39
-4.91399,119.84101,9/10/2011,69.74
-4.91399,119.84101,9/11/2011,72.01
-4.91399,119.84101,9/12/2011,68.56
-4.91399,119.84101,9/13/2011,70.32
-4.91399,119.84101,9/14/2011,68.08
-4.91399,119.84101,9/15/2011,72.43
-4.91399,119.84101,9/16/2011,70.78
-4.91399,119.84101,9/17/2011,74.47
-4.91399,119.84101,9/18/2011,73.57
-4.91399,119.84101,9/19/2011,67.85
-4.91399,119.84101,9/20/2011,66.37
-4.91399,119.84101,9/21/2011,63.6
-4.91399,119.84101,9/22/2011,66.4
-4.91399,119.84101,9/23/2011,64.69
-4.91399,119.84101,9/24/2011,64.89
-4.91399,119.84101,9/25/2011,63.75
-4.91399,119.84101,9/26/2011,65.19
-4.91399,119.84101,9/27/2011,64.61
-4.91399,119.84101,9/28/2011,63.91
-4.91399,119.84101,9/29/2011,68.43
-4.91399,119.84101,9/30/2011,68.96
-4.91399,119.84101,10/1/2011,69.08
-4.91399,119.84101,10/2/2011,67.88
-4.91399,119.84101,10/3/2011,66.68
-4.91399,119.84101,10/4/2011,66.21
-4.91399,119.84101,10/5/2011,66.47
-4.91399,119.84101,10/6/2011,69.59
-4.91399,119.84101,10/7/2011,71.52
-4.91399,119.84101,10/8/2011,70.5
-4.91399,119.84101,10/9/2011,68.06
-4.91399,119.84101,10/10/2011,65.04
-4.91399,119.84101,10/11/2011,62.54
-4.91399,119.84101,10/12/2011,61.95
-4.91399,119.84101,10/13/2011,62.47
-4.91399,119.84101,10/14/2011,63.67
-4.91399,119.84101,10/15/2011,67.87
-4.91399,119.84101,10/16/2011,69.71
-4.91399,119.84101,10/17/2011,68.33
-4.91399,119.84101,10/18/2011,68.04
-4.91399,119.84101,10/19/2011,67.29
-4.91399,119.84101,10/20/2011,64.94
-4.91399,119.84101,10/21/2011,71.5
-4.91399,119.84101,10/22/2011,73.7
-4.91399,119.84101,10/23/2011,74.77
-4.91399,119.84101,10/24/2011,72.56
-4.91399,119.84101,10/25/2011,69.54
-4.91399,119.84101,10/26/2011,76.83
-4.91399,119.84101,10/27/2011,71.6
-4.91399,119.84101,10/28/2011,75.76
-4.91399,119.84101,10/29/2011,78.77
-4.91399,119.84101,10/30/2011,70.75
-4.91399,119.84101,10/31/2011,68.96
-4.91399,119.84101,11/1/2011,70.84
-4.91399,119.84101,11/2/2011,67.91
-4.91399,119.84101,11/3/2011,65.92
-4.91399,119.84101,11/4/2011,64.08
-4.91399,119.84101,11/5/2011,75.21
-4.91399,119.84101,11/6/2011,73.73
-4.91399,119.84101,11/7/2011,74.21
-4.91399,119.84101,11/8/2011,75.82
-4.91399,119.84101,11/9/2011,71.41
-4.91399,119.84101,11/10/2011,72.21
-4.91399,119.84101,11/11/2011,69.54
-4.91399,119.84101,11/12/2011,73.87
-4.91399,119.84101,11/13/2011,72.47
-4.91399,119.84101,11/14/2011,73.22
-4.91399,119.84101,11/15/2011,67.08
-4.91399,119.84101,11/16/2011,67.28
-4.91399,119.84101,11/17/2011,73.33
-4.91399,119.84101,11/18/2011,74.64
-4.91399,119.84101,11/19/2011,73.99
-4.91399,119.84101,11/20/2011,72.64
-4.91399,119.84101,11/21/2011,78.67
-4.91399,119.84101,11/22/2011,75.21
-4.91399,119.84101,11/23/2011,74.75
-4.91399,119.84101,11/24/2011,75.55
-4.91399,119.84101,11/25/2011,67.49
-4.91399,119.84101,11/26/2011,72.84
-4.91399,119.84101,11/27/2011,75.64
-4.91399,119.84101,11/28/2011,81.3
-4.91399,119.84101,11/29/2011,77.9
-4.91399,119.84101,11/30/2011,79.17
-4.91399,119.84101,12/1/2011,76.8
-4.91399,119.84101,12/2/2011,69.75
-4.91399,119.84101,12/3/2011,72.66
-4.91399,119.84101,12/4/2011,86.73
-4.91399,119.84101,12/5/2011,85.77
-4.91399,119.84101,12/6/2011,87.85
-4.91399,119.84101,12/7/2011,80.09
-4.91399,119.84101,12/8/2011,83.73
-4.91399,119.84101,12/9/2011,84.53
-4.91399,119.84101,12/10/2011,83.09
-4.91399,119.84101,12/11/2011,78.94
-4.91399,119.84101,12/12/2011,76.34
-4.91399,119.84101,12/13/2011,83.43
-4.91399,119.84101,12/14/2011,89.3
-4.91399,119.84101,12/15/2011,86.93
-4.91399,119.84101,12/16/2011,88.58
-4.91399,119.84101,12/17/2011,89.18
-4.91399,119.84101,12/18/2011,87.53
-4.91399,119.84101,12/19/2011,88.36
-4.91399,119.84101,12/20/2011,85.3
-4.91399,119.84101,12/21/2011,85.48
-4.91399,119.84101,12/22/2011,87.49
-4.91399,119.84101,12/23/2011,91.62
-4.91399,119.84101,12/24/2011,87.85
-4.91399,119.84101,12/25/2011,88.5
-4.91399,119.84101,12/26/2011,91.07
-4.91399,119.84101,12/27/2011,90.29
-4.91399,119.84101,12/28/2011,87.61
-4.91399,119.84101,12/29/2011,88.58
-4.91399,119.84101,12/30/2011,85.47
-4.91399,119.84101,12/31/2011,86.74
-4.91399,119.84101,1/1/2012,88.18
-4.91399,119.84101,1/2/2012,87.08
-4.91399,119.84101,1/3/2012,88.69
-4.91399,119.84101,1/4/2012,86.82
-4.91399,119.84101,1/5/2012,86.48
-4.91399,119.84101,1/6/2012,85.96
-4.91399,119.84101,1/7/2012,87.82
-4.91399,119.84101,1/8/2012,88.46
-4.91399,119.84101,1/9/2012,90.03
