LAT,LON,DATE,T2M,PRECTOT,RH2M
-4.96019,119.56881,5/23/2000,26.23,1.55,82.62
-4.96019,119.56881,5/24/2000,26.48,2.15,81.73
-4.96019,119.56881,5/25/2000,26.57,2.11,82.67
-4.96019,119.56881,5/26/2000,25.21,8,90.22
-4.96019,119.56881,5/27/2000,25.26,10.51,87.94
-4.96019,119.56881,5/28/2000,24.94,1.98,89.9
-4.96019,119.56881,5/29/2000,25.38,0.34,83.72
-4.96019,119.56881,5/30/2000,25.11,1.93,87.95
-4.96019,119.56881,5/31/2000,24.95,5.16,89.69
-4.96019,119.56881,6/1/2000,25.1,21.07,92.03
-4.96019,119.56881,6/2/2000,24.84,6.07,94.31
-4.96019,119.56881,6/3/2000,25.35,3.37,89.43
-4.96019,119.56881,6/4/2000,25.56,1.92,83.24
-4.96019,119.56881,6/5/2000,25.49,0.18,81.45
-4.96019,119.56881,6/6/2000,25.94,1.68,85.14
-4.96019,119.56881,6/7/2000,26.07,4.38,86.43
-4.96019,119.56881,6/8/2000,25.79,6.04,87.2
-4.96019,119.56881,6/9/2000,25.53,4.01,86.17
-4.96019,119.56881,6/10/2000,25.22,17.25,86.86
-4.96019,119.56881,6/11/2000,25.68,3.5,83.95
-4.96019,119.56881,6/12/2000,25.74,1.17,84.97
-4.96019,119.56881,6/13/2000,25.66,2.35,85.07
-4.96019,119.56881,6/14/2000,25.62,2.15,83.26
-4.96019,119.56881,6/15/2000,25.41,6.93,87.35
-4.96019,119.56881,6/16/2000,25.09,3.5,90.2
-4.96019,119.56881,6/17/2000,25.82,0.73,82.87
-4.96019,119.56881,6/18/2000,25.65,3.15,84.64
-4.96019,119.56881,6/19/2000,25.45,7.78,87.79
-4.96019,119.56881,6/20/2000,25.08,8.88,91.2
-4.96019,119.56881,6/21/2000,25.45,9.02,88.93
-4.96019,119.56881,6/22/2000,24.97,1.76,88.98
-4.96019,119.56881,6/23/2000,25.14,3.39,84.68
-4.96019,119.56881,6/24/2000,25.2,2.43,83.57
-4.96019,119.56881,6/25/2000,25.27,1.13,82.43
-4.96019,119.56881,6/26/2000,24.45,10.08,88.63
-4.96019,119.56881,6/27/2000,24.29,2.78,89.41
-4.96019,119.56881,6/28/2000,24.58,6.05,88.43
-4.96019,119.56881,6/29/2000,24.4,2.57,87.17
-4.96019,119.56881,6/30/2000,24.78,0.96,83.29
-4.96019,119.56881,7/1/2000,25.19,0.98,83.02
-4.96019,119.56881,7/2/2000,25.27,1.75,84.83
-4.96019,119.56881,7/3/2000,25.34,5.66,85.92
-4.96019,119.56881,7/4/2000,25.15,24.83,88.9
-4.96019,119.56881,7/5/2000,25.59,5.12,86.68
-4.96019,119.56881,7/6/2000,24.59,1.81,88.98
-4.96019,119.56881,7/7/2000,24.59,1.18,86.35
-4.96019,119.56881,7/8/2000,24.53,0.66,84.98
-4.96019,119.56881,7/9/2000,24.63,1.21,84.88
-4.96019,119.56881,7/10/2000,24.53,0.53,85.86
-4.96019,119.56881,7/11/2000,25.16,0.36,84.32
-4.96019,119.56881,7/12/2000,25.31,0.08,80.91
-4.96019,119.56881,7/13/2000,24.68,0.18,79.41
-4.96019,119.56881,7/14/2000,24.36,0.09,80.36
-4.96019,119.56881,7/15/2000,24.4,0.05,80.78
-4.96019,119.56881,7/16/2000,24.58,0.07,80.76
-4.96019,119.56881,7/17/2000,25.04,0.41,81.69
-4.96019,119.56881,7/18/2000,24.97,1.53,84.52
-4.96019,119.56881,7/19/2000,25.18,0.34,80.52
-4.96019,119.56881,7/20/2000,24.67,0.02,76.99
-4.96019,119.56881,7/21/2000,23.95,0,76.79
-4.96019,119.56881,7/22/2000,24.69,0.05,78.28
-4.96019,119.56881,7/23/2000,24.77,0.06,81.01
-4.96019,119.56881,7/24/2000,25.6,0.32,81.89
-4.96019,119.56881,7/25/2000,25.41,1.82,80.65
-4.96019,119.56881,7/26/2000,24.85,3.76,85.34
-4.96019,119.56881,7/27/2000,25.18,4.27,82.57
-4.96019,119.56881,7/28/2000,24.8,0.42,81.37
-4.96019,119.56881,7/29/2000,25.13,0.23,79.96
-4.96019,119.56881,7/30/2000,24.97,3.39,84.62
-4.96019,119.56881,7/31/2000,25.13,2.4,84.6
